tensor(0.6656, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6307, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6341, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6565, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6586, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6515, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7057, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6852, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5915, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5666, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7365, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6442, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4684, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6457, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4323, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6950, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6581, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4907, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6326, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4611, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6900, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5465, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6713, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6597, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6375, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6353, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4400, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6565, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6166, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5715, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5794, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5975, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5580, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6480, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5005, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5991, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5999, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5828, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6250, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6636, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6598, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5803, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6537, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6906, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6963, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7019, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7024, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8041, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7459, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8458, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8652, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9077, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8584, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9221, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9477, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.9162, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8503, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8359, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8624, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8758, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7555, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7888, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7333, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8504, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8544, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7892, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8586, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7554, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6904, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6605, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7275, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7159, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6843, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7236, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6636, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6648, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6778, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6080, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6416, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6165, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6486, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6951, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6953, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6820, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7124, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5090, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7310, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5923, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6572, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5459, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5350, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6057, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5759, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6389, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6003, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6572, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6298, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7072, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5996, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7231, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6820, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6676, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6822, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7421, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6372, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6406, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6763, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7287, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8106, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5929, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7078, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5269, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6688, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6501, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6574, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6997, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6256, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6430, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6123, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5425, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6168, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6402, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5985, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6443, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6595, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6388, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6438, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5916, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5729, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7037, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6212, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5460, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6840, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6974, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5676, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6174, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5780, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6693, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6623, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6277, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6986, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5870, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6542, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6936, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6740, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7224, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5977, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5736, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5940, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5692, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6339, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6006, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5232, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6653, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5855, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6324, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5205, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5450, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6412, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4792, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6125, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6497, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5779, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5524, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5937, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5460, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5398, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6195, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6255, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5376, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6884, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7557, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7271, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6536, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7532, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7304, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6591, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6938, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7892, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8408, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5392, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6604, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6867, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6082, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5389, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6088, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5856, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6385, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6029, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5512, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4846, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5961, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4438, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4981, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5201, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.3416, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5948, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6165, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.3625, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4329, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5381, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5519, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5733, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5883, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6642, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6550, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6073, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6878, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6576, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6485, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5841, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6728, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6929, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7142, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7192, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6881, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6145, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6506, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6461, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6221, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6390, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6719, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5954, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6796, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7146, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6755, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6284, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5755, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6621, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6592, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6992, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6487, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5319, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7115, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6571, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6991, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.4762, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6590, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5946, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5615, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5448, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5088, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6630, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6411, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5151, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7202, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7363, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6358, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6732, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6171, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8927, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5893, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7422, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8302, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8366, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6722, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7780, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.8194, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7151, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7754, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6775, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7157, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6665, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7047, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5876, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6598, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6141, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6166, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5150, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6591, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6253, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6852, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5776, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6896, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6783, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6975, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6627, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6002, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6671, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6507, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7301, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6808, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6986, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6276, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6857, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6746, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7390, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7404, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7144, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7032, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6060, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7782, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6960, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6675, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7244, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6241, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6906, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7314, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6362, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6084, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6056, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6905, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6622, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6762, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.7381, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6006, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5526, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6283, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6410, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6863, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6200, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5531, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5450, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6621, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5390, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6664, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5905, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5938, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6042, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6556, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6731, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6119, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6395, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5774, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5844, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5414, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6057, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6186, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6474, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6812, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6334, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6285, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5947, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6269, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6583, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5779, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6716, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5521, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5777, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5920, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.6022, device='cuda:0', grad_fn=<AddBackward0>)
tensor(0.5928, device='cuda:0', grad_fn=<AddBackward0>)
